brand,product_name,price,currency,source,url,timestamp,sold_count
,Tiêu chí chọn laptop đồ họa cho dân thiết kế và kỹ thuật chuẩn nhất,27990000,VND,thegioididong,https://www.thegioididong.com/hoi-dap/cach-chon-laptop-de-su-dung-thiet-ke-do-hoa-va-ky-1022621,2025-11-23 16:31:12,
['Acer'],"Laptop Acer Gaming Nitro V 15 ANV15 41 R2UP - NH.QPGSV.004 (R5 6600H, 16GB, 512GB, RTX 2050 4GB, Full HD 165Hz, Win11)",17190000,VND,thegioididong,https://www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004,2025-11-23 16:31:27,2500.0
['Asus'],"Laptop Asus Vivobook 15 X1502VA - BQ986WS (i7 13620H, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",17990000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-x1502va-i7-bq986ws,2025-11-23 16:31:35,1200.0
['Asus'],"Laptop Asus Vivobook 14 X1404VA - EB155WS (Core 5 120U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",16990000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-core-5-eb155ws,2025-11-23 16:31:35,1500.0
['HP'],"Laptop HP 240 G10 - B93GZAT (i5 1334U, 16GB, 512GB, Full HD, Win11)",16490000,VND,thegioididong,https://www.thegioididong.com/laptop/hp-240-g10-i5-b93gzat,2025-11-23 16:31:38,3200.0
['MSI'],"Laptop MSI Gaming Thin 15 B13UCX - 2080VN (i5 13420H, 16GB, 512GB, RTX 2050 4GB, Full HD 144Hz, Win11)",16690000,VND,thegioididong,https://www.thegioididong.com/laptop/msi-thin-15-b13ucx-i5-2080vn,2025-11-23 16:31:40,811.0
['MacBook'],Laptop MacBook Pro 14 inch M5 16GB/512GB,41990000,VND,thegioididong,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m5-16gb-512gb,2025-11-23 16:31:44,
['MacBook'],Laptop MacBook Air 15 inch M4 16GB/256GB,29990000,VND,thegioididong,https://www.thegioididong.com/laptop/macbook-air-15-inch-m4-16gb-256gb,2025-11-23 16:31:47,773.0
['Asus'],"Laptop Asus Vivobook 15 X1504VA - BQ185WS (Core 5 120U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",17490000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-x1504va-core-5-bq185ws,2025-11-23 16:31:47,2000.0
['Asus'],"Laptop Asus Vivobook Go E1504FA - BQ1160W (R5 7520U, 16GB, 512GB, Full HD, Win11)",13590000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-vivobook-go-e1504fa-r5-7520u-bq1160w,2025-11-23 16:31:56,2.0
['MSI'],"Laptop MSI Gaming Thin 15 B13UC - 3247VN_16GB (i5 13420H, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",19490000,VND,thegioididong,https://www.thegioididong.com/laptop/msi-gaming-thin-15-b13uc-i5-13420h-3247vn-16gb,2025-11-23 16:31:57,89.0
['Asus'],"Laptop Asus Vivobook 15 X1504VA - NJ1634W (i3 1315U, 8GB, 512GB, Full HD, Win11)",12290000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-nj1634w,2025-11-23 16:31:59,5300.0
['Dell'],"Laptop Dell Inspiron 15 3530 - N3530-i3U085W11SLU (i3 1305U, 8GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",11990000,VND,thegioididong,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i3-1305u-n3530-i3u085w11slu,2025-11-23 16:32:00,667.0
,Top 10 laptop gaming dưới 35 triệu bán chạy nhất Thế Giới Di Động,25290000,VND,thegioididong,https://www.thegioididong.com/hoi-dap/top-10-laptop-gaming-duoi-35-trieu-ban-chay-nhat-the-gioi-1407251,2025-11-23 16:31:39,
,Card đồ họa rời là gì? Có nên mua laptop có card đồ họa rời không?,19990000,VND,thegioididong,https://www.thegioididong.com/hoi-dap/nen-mua-laptop-co-card-do-hoa-roi-nao-1181568,2025-11-23 16:31:49,
['Asus'],"Laptop Asus Vivobook Go 15 E1504FA - NJ776W (R5 7520U, 16GB, 512GB, Full HD, Win11)",12690000,VND,thegioididong,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w,2025-11-23 16:32:07,26800.0
['Acer'],"Laptop Acer Gaming Nitro V 15 ANV15 41 R1JY - NH.QPFSV.001 (R5 6600H, 16GB, 512GB, RTX 3050 6GB, Full HD 165Hz, Win11)",19990000,VND,thegioididong,https://www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r1jy-r5-nhqpfsv001,2025-11-23 16:32:19,2200.0
['MacBook'],Laptop MacBook Air 13 inch M2 16GB/256GB,19690000,VND,thegioididong,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb-256gb,2025-11-23 16:32:22,10400.0
['Lenovo'],"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000HVN (i5 13420H, 16GB, 512GB, WUXGA, Win11)",15390000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn,2025-11-23 16:32:25,5000.0
['HP'],"Laptop HP 240 G10 - B73TJAT (i3 1315U, 8GB, 512GB, Full HD, Win11)",11690000,VND,thegioididong,https://www.thegioididong.com/laptop/hp-240-g10-i3-b73tjat,2025-11-23 16:32:25,1400.0
['MSI'],"Laptop MSI Modern 15 F13MG - 082VN (i5 1335U, 16GB, 512GB, Full HD, Win11)",13690000,VND,thegioididong,https://www.thegioididong.com/laptop/msi-modern-15-f13mg-i5-082vn,2025-11-23 16:32:29,1000.0
,"Top 10 laptop nhỏ gọn, mỏng nhẹ và dễ di chuyển đáng mua nhất hiện nay",25290000,VND,thegioididong,https://www.thegioididong.com/hoi-dap/top-5-laptop-gon-nhe-de-di-chuyen-979855,2025-11-23 16:32:06,
['Lenovo'],"Laptop Lenovo Ideapad Slim 3 16IRH10 - 83K20003VN (i5 13420H, 24GB, 512GB, WUXGA, Win11)",16390000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-16irh10-i5-83k20003vn,2025-11-23 16:32:33,2300.0
['Dell'],"Laptop Dell 15 DC15250 - DC5I7748W1 (i7 1355U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",20990000,VND,thegioididong,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-dc5i7748w1,2025-11-23 16:32:36,812.0
['Acer'],"Laptop Acer Aspire Lite 15 AL15 71P 517D - NX.J7KSV.001 (i5 12450H, 16GB, 512GB, Full HD, Win11)",14490000,VND,thegioididong,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-71p-517d-i5-nxj7ksv001,2025-11-23 16:32:39,2500.0
,"TOP 10 laptop cho dân văn phòng giá rẻ, đáng mua nhất tại TGDĐ",9990000,VND,thegioididong,https://www.thegioididong.com/hoi-dap/top-5-laptop-danh-cho-van-phong-co-ban-979828,2025-11-23 16:32:28,
['Dell'],"Laptop Dell Inspiron 15 3530 - 71070372 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",17490000,VND,thegioididong,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71070372,2025-11-23 16:32:41,1900.0
,"Laptop cũ chính hãng giá rẻ, tiết kiệm đến 60%, có trả góp",5240000,VND,thegioididong,https://www.thegioididong.com/may-doi-tra/laptop,2025-11-23 16:32:36,
['Acer'],"Laptop Acer Aspire Go AG15 31P 30M4 - NX.KRPSV.004 (i3 N305, 8GB, 256GB, Full HD, Win11)",10290000,VND,thegioididong,https://www.thegioididong.com/laptop/acer-aspire-go-ag15-31p-30m4-i3-nxkrpsv004,2025-11-23 16:32:49,2500.0
['Lenovo'],"Laptop Lenovo Gaming LOQ 15IAX9E - 83LK0079VN (i5 12450HX, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",20290000,VND,thegioididong,https://www.thegioididong.com/laptop/lenovo-loq-15iax9e-i5-83lk0079vn,2025-11-23 16:32:55,1700.0
['HP'],"Laptop HP 15 fc0655AU - C81NGPA (R5 7430U, 16GB, 512GB, Full HD, Win11)",13490000,VND,thegioididong,https://www.thegioididong.com/laptop/hp-15-fc0655au-r5-7430u-c81ngpa,2025-11-23 16:33:05,
['Acer'],"Laptop Acer Aspire Lite AL14 52M 54CJ - NX.J39SV.002 (i5 1334U, 16GB, 512GB, WUXGA, Win11)",14490000,VND,thegioididong,https://www.thegioididong.com/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002,2025-11-23 16:33:08,2400.0
